dt,observed,Mercedes_Level_32_1,Mercedes_Level_32_7,Mercedes_Level_32_15,Mercedes_Level_32_30,Mercedes_Level_160_1,Mercedes_Level_160_7,Mercedes_Level_160_15,Mercedes_Level_160_30,Mercedes_Level_224_1,Mercedes_Level_224_7,Mercedes_Level_224_15,Mercedes_Level_224_30,Mercedes_Level_352_1,Mercedes_Level_352_7,Mercedes_Level_352_15,Mercedes_Level_352_30,Mercedes_Level_384_1,Mercedes_Level_384_7,Mercedes_Level_384_15,Mercedes_Level_384_30,Mercedes_Level_480_1,Mercedes_Level_480_7,Mercedes_Level_480_15,Mercedes_Level_480_30
2015-04-18 07:00:00,0.78,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-19 07:00:00,0.75,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-20 07:00:00,0.55,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-21 07:00:00,1.2,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-22 07:00:00,1.45,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-23 07:00:00,0.75,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-24 07:00:00,0.4,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-25 07:00:00,0.58,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-26 07:00:00,0.5,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-27 07:00:00,0.45,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-28 07:00:00,0.9,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-29 07:00:00,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-30 07:00:00,0.35,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-01 07:00:00,0.1,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-02 07:00:00,0.2,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-03 07:00:00,0.35,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-04 07:00:00,0.8,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-05 07:00:00,0.8,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-06 07:00:00,1.05,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-07 07:00:00,1.6,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-08 07:00:00,0.9,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-09 07:00:00,0.58,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-10 07:00:00,0.83,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-11 07:00:00,0.83,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-12 07:00:00,0.5,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-13 07:00:00,0.4,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-14 07:00:00,0.35,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-15 07:00:00,0.35,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-16 07:00:00,0.5,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-17 07:00:00,0.65,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-18 07:00:00,0.5,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-19 07:00:00,0.67,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-20 07:00:00,0.6,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-21 07:00:00,0.6,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-22 07:00:00,0.6,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-23 07:00:00,0.57,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-24 07:00:00,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-25 07:00:00,1.2,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-26 07:00:00,0.8,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-27 07:00:00,0.88,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-28 07:00:00,1.2,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-29 07:00:00,0.6,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-30 07:00:00,0.4,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-31 07:00:00,0.4,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-01 07:00:00,0.75,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-02 07:00:00,0.55,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-03 07:00:00,0.61,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-04 07:00:00,0.37,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-05 07:00:00,0.9,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-06 07:00:00,0.9,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-07 07:00:00,1.35,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-08 07:00:00,0.98,,,,,,,,,,,,,,,,,,,,,,,,
