dt,observed,Mercedes_Level_no_Covariables_7_1,Mercedes_Level_+_Mercedes_Rain_7_1,Mercedes_Level_+_All_Levels_7_1,Mercedes_Level_+_All_Levels_+_All_Rain_7_1,Mercedes_Level_no_Covariables_7_7,Mercedes_Level_+_Mercedes_Rain_7_7,Mercedes_Level_+_All_Levels_7_7,Mercedes_Level_+_All_Levels_+_All_Rain_7_7,Mercedes_Level_no_Covariables_7_30,Mercedes_Level_+_Mercedes_Rain_7_30,Mercedes_Level_+_All_Levels_7_30,Mercedes_Level_+_All_Levels_+_All_Rain_7_30,Mercedes_Level_no_Covariables_160_1,Mercedes_Level_+_Mercedes_Rain_160_1,Mercedes_Level_+_All_Levels_160_1,Mercedes_Level_+_All_Levels_+_All_Rain_160_1,Mercedes_Level_no_Covariables_160_7,Mercedes_Level_+_Mercedes_Rain_160_7,Mercedes_Level_+_All_Levels_160_7,Mercedes_Level_+_All_Levels_+_All_Rain_160_7,Mercedes_Level_no_Covariables_160_30,Mercedes_Level_+_Mercedes_Rain_160_30,Mercedes_Level_+_All_Levels_160_30,Mercedes_Level_+_All_Levels_+_All_Rain_160_30,Mercedes_Level_no_Covariables_365_1,Mercedes_Level_+_Mercedes_Rain_365_1,Mercedes_Level_+_All_Levels_365_1,Mercedes_Level_+_All_Levels_+_All_Rain_365_1,Mercedes_Level_no_Covariables_365_7,Mercedes_Level_+_Mercedes_Rain_365_7,Mercedes_Level_+_All_Levels_365_7,Mercedes_Level_+_All_Levels_+_All_Rain_365_7,Mercedes_Level_no_Covariables_365_30,Mercedes_Level_+_Mercedes_Rain_365_30,Mercedes_Level_+_All_Levels_365_30,Mercedes_Level_+_All_Levels_+_All_Rain_365_30,Mercedes_Level_no_Covariables_500_1,Mercedes_Level_+_Mercedes_Rain_500_1,Mercedes_Level_+_All_Levels_500_1,Mercedes_Level_+_All_Levels_+_All_Rain_500_1,Mercedes_Level_no_Covariables_500_7,Mercedes_Level_+_Mercedes_Rain_500_7,Mercedes_Level_+_All_Levels_500_7,Mercedes_Level_+_All_Levels_+_All_Rain_500_7,Mercedes_Level_no_Covariables_500_30,Mercedes_Level_+_Mercedes_Rain_500_30,Mercedes_Level_+_All_Levels_500_30,Mercedes_Level_+_All_Levels_+_All_Rain_500_30
2020-01-11,1.95,0.9334959,0.8199792,3.36396,1.2230512,0.54470384,0.1681006,1.1020503,0.064647555,0.120277405,0.31587243,-0.49321282,2.4451666,1.5280863,1.3093019,1.8993137,0.63973486,0.56223845,1.0279101,1.3658222,0.74671793,2.4284244,1.8764205,1.1743002,3.599431,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-12,1.98,1.5945661,1.9586257,0.88927835,2.085509,-0.09574592,0.14739275,1.7992163,1.3491491,0.07711196,0.97699666,2.6261516,-1.6788297,1.7520618,1.7765561,1.8613219,1.8368003,1.1522385,0.1067915,0.846362,2.0573962,2.4778974,0.14439392,1.8099235,2.6263494,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-13,2.0,1.9623641,2.1507204,0.46430552,1.4071833,0.4275366,0.7775114,0.43148053,1.4248537,-0.7315706,0.8715577,3.430512,0.08610046,1.3301512,1.6612575,1.9606116,2.2173245,1.2431933,1.3447192,2.0427203,0.70542467,4.482413,1.0105828,3.426086,1.5596268,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-14,1.5,0.9854588,2.292182,1.457946,2.0167015,1.2538002,2.0515053,0.3120544,1.1894081,0.32008773,0.5321076,0.99660945,1.1745983,1.9309173,1.9589354,2.0081763,1.8033803,1.7651472,0.5495739,0.82154024,0.78413904,0.953027,3.8629773,2.0633533,-1.1060953,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-15,1.2,0.7179395,0.9960125,1.7417537,1.7969753,1.2433497,2.3570268,0.6734741,22.992504,-0.43673497,-0.02276349,0.7946909,1.1643941,1.945237,1.0955396,1.2602743,1.1579874,1.911273,1.2888663,1.3433517,0.89774966,6.6053963,1.5042645,1.8286872,3.1387758,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-16,1.44,0.9013634,0.9379775,1.4803507,0.619544,0.70455855,1.6583706,1.6036978,2.032609,1.8671719,0.015723705,2.1706772,1.0899323,1.3766285,1.2249503,0.9833058,0.65371704,5.0212975,0.39597654,3.7319484,1.2049507,-0.42134213,2.0224614,-0.07027912,1.0988841,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-17,1.8,2.6427674,1.1152364,2.1260886,1.237308,1.435849,1.4175715,1.4879135,1.3611495,-0.19391811,1.144455,16.383177,3.019754,1.5430477,1.4220457,1.7594562,1.953932,1.0938519,1.4657557,1.1671978,1.7426927,1.91769,1.0393634,2.2960505,1.2190884,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-18,1.72,0.72261995,2.1137927,0.77978677,0.7395456,0.58555007,0.26026154,0.9605245,1.240807,0.11257148,1.8914543,1.4248223,-0.6470674,1.8637464,1.9871848,1.3484957,1.8046883,1.5802374,1.2238371,2.0171878,1.1514606,1.1964307,1.0922878,3.6885889,1.807251,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-19,1.2,1.7918365,1.2761762,2.788041,2.254755,0.8764513,0.65355283,1.4055674,1.2805963,0.08882177,0.4141503,1.0226569,1.333812,2.2436423,1.834079,1.5914001,1.9494462,1.52052,2.0925627,2.4990149,1.7769903,2.5295024,-0.18717575,3.2839427,0.9431932,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-20,1.75,0.43386865,1.8382497,1.5658873,1.4580762,1.913038,0.91758686,2.1430666,1.1292754,0.37386554,0.7557417,1.163167,1.9612031,0.8354119,0.2145834,1.158133,1.2804555,0.4396553,1.8899497,-0.6050396,2.0431552,3.172439,1.1614431,-0.90395665,0.90996933,,,,,,,,,,,,,,,,,,,,,,,,
